"Feature","Gain","Cover","Frequency"
"Tanana_floodplain",0.288826857635234,0.0442772990142547,0.00310076216565969
"Local_Elev",0.260216437441268,0.17080919157376,0.135576414039982
"SLOPE",0.11206151859833,0.109569496647021,0.117955009537575
"ELEV",0.0993494103989834,0.143696157528305,0.16562607665353
"temp_winter",0.0909993520963504,0.198889377684461,0.247792072468761
"temp_summer",0.0895276396576454,0.200197838214609,0.245691285093653
"isWetland",0.0250586367354736,0.0271307201872779,0.00891574161995916
"ABOVE_1984_adj8",0.00815733230870807,0.0146032294270492,0.00391586766720167
"ABOVE_1984_adj12",0.00706819344830141,0.0111259523295612,0.0133273951076864
"ABOVE_1984_adj15",0.00412543829309497,0.00628844109438097,0.00929388334747864
"ABOVE_1984_adj4",0.00327791453060357,0.00979529766445534,0.00929388334747864
"ice_wedge",0.00300363829113529,0.00654168498809897,0.00531079048427351
"ABOVE_1984_adj11",0.0020052823476757,0.00687150995664095,0.00781492903540247
"ABOVE_1984_adj10",0.00182001220981307,0.00952089814657659,0.00334445350117224
"ABOVE_1984_adj6",0.00156390310020567,0.0083417116141703,0.00552086922178432
"ABOVE_1984_adj13",0.00140464847671571,0.00479931282059798,0.00859642193894272
"ABOVE_1984_adj14",0.00068873452835292,0.00726326977621206,0.00393267396620253
"ABOVE_1984_adj3",0.000343238705085693,0.00450296406392211,0.00112602203305799
"ABOVE_1984_adj7",0.000330100832047936,0.00332252331047368,0.0019747401326017
"ABOVE_1984_adj2",0.000107638392343208,0.00977717302940618,0.000848718099543709
"ABOVE_1984_adj9",0.0000446648642181566,0.000637191431368447,0.000705864558036352
"ABOVE_1984_adj1",0.0000194071084140376,0.00203875949739657,0.00033612598001731
